instance,alpha,cost,optimal_cost,gap,time
E-n13-k4.vrp,0.85,290.0,247,17.408906882591094,2.381334066390991
E-n13-k4.vrp,0.9,290.0,247,17.408906882591094,3.6168577671051025
E-n13-k4.vrp,0.95,290.0,247,17.408906882591094,7.198338747024536
E-n13-k4.vrp,0.97,290.0,247,17.408906882591094,12.134371519088745
E-n13-k4.vrp,0.99,290.0,247,17.408906882591094,30.00165343284607
A-n32-k5.vrp,0.85,865.6508318252038,784,10.414646916480077,28.416743993759155
A-n32-k5.vrp,0.9,865.6508318252038,784,10.414646916480077,30.399158239364624
A-n32-k5.vrp,0.95,865.6508318252038,784,10.414646916480077,30.214578866958618
A-n32-k5.vrp,0.97,865.6508318252038,784,10.414646916480077,30.39860486984253
A-n32-k5.vrp,0.99,865.6508318252038,784,10.414646916480077,30.162533283233643
B-n31-k5.vrp,0.85,676.0884122584414,672,0.6083946813156836,29.139403104782104
B-n31-k5.vrp,0.9,676.0884122584414,672,0.6083946813156836,30.141883850097656
B-n31-k5.vrp,0.95,676.0884122584414,672,0.6083946813156836,30.221524953842163
B-n31-k5.vrp,0.97,676.0884122584414,672,0.6083946813156836,30.27136754989624
B-n31-k5.vrp,0.99,676.0884122584414,672,0.6083946813156836,30.26216220855713
P-n16-k8.vrp,0.85,451.9470921298185,450,0.43268713995966357,6.108860492706299
P-n16-k8.vrp,0.9,451.9470921298185,450,0.43268713995966357,9.369516611099243
P-n16-k8.vrp,0.95,451.9470921298185,450,0.43268713995966357,19.2339928150177
P-n16-k8.vrp,0.97,451.9470921298185,450,0.43268713995966357,30.083905935287476
P-n16-k8.vrp,0.99,451.9470921298185,450,0.43268713995966357,30.046122550964355
