instance,iterations_per_temp,cost,optimal_cost,gap,time
E-n13-k4.vrp,50,290.0,247,17.408906882591094,3.4329638481140137
E-n13-k4.vrp,100,290.0,247,17.408906882591094,6.84492564201355
E-n13-k4.vrp,200,290.0,247,17.408906882591094,13.708569526672363
E-n13-k4.vrp,300,290.0,247,17.408906882591094,20.80478858947754
A-n32-k5.vrp,50,865.6508318252038,784,10.414646916480077,30.233489990234375
A-n32-k5.vrp,100,865.6508318252038,784,10.414646916480077,30.36215090751648
A-n32-k5.vrp,200,865.6508318252038,784,10.414646916480077,30.315155506134033
A-n32-k5.vrp,300,865.6508318252038,784,10.414646916480077,30.148064613342285
B-n31-k5.vrp,50,676.0884122584414,672,0.6083946813156836,30.177833795547485
B-n31-k5.vrp,100,676.0884122584414,672,0.6083946813156836,30.40670371055603
B-n31-k5.vrp,200,676.0884122584414,672,0.6083946813156836,30.55600619316101
B-n31-k5.vrp,300,676.0884122584414,672,0.6083946813156836,30.684994220733643
P-n16-k8.vrp,50,451.9470921298185,450,0.43268713995966357,8.916667461395264
P-n16-k8.vrp,100,451.9470921298185,450,0.43268713995966357,18.410479068756104
P-n16-k8.vrp,200,451.9470921298185,450,0.43268713995966357,30.083863735198975
P-n16-k8.vrp,300,451.9470921298185,450,0.43268713995966357,30.14519739151001
